date,code,predictor,slope,intercept,delta,fc_qmin,fc_qmax,fc_qexp,qnorm,perc_norm,qdanger
2010_04_05,12176,nan,0.1846,2.78046,3.67226,nan,nan,nan,8.26, ,-10000.0
2010_04_05,12256,nan,0.20428,0.10187,0.08189,nan,nan,nan,0.24, ,-10000.0
2024_01_05,12176,nan,0.08805,2.51198,0.49987,nan,nan,nan,3.92, ,-10000.0
2024_01_05,12256,nan,0.31065,-0.01596,0.07836,nan,nan,nan,0.16, ,-10000.0
2024_01_10,12176,nan,0.03366,2.88421,0.17673,nan,nan,nan,3.30, ,-10000.0
2024_01_10,12256,nan,0.31262,-0.01227,0.07317,nan,nan,nan,0.13, ,-10000.0
2024_01_15,12176,nan,-0.14291,4.81443,0.19212,nan,nan,nan,3.41, ,-10000.0
2024_01_15,12256,nan,0.30445,-0.00746,0.06694,nan,nan,nan,0.12, ,-10000.0
2024_01_20,12176,nan,0.94827,-5.24101,1.1195,nan,nan,nan,4.51, ,-10000.0
2024_01_20,12256,nan,0.30094,-0.00366,0.06032,nan,nan,nan,0.10, ,-10000.0
2024_01_05,12176,nan,0.08805,2.51198,0.49987,nan,nan,nan,3.92, ,-10000.0
2024_01_05,12256,nan,0.31065,-0.01596,0.07836,nan,nan,nan,0.16, ,-10000.0
2024_01_10,12176,nan,0.03366,2.88421,0.17673,nan,nan,nan,3.30, ,-10000.0
2024_01_10,12256,nan,0.31262,-0.01227,0.07317,nan,nan,nan,0.13, ,-10000.0
2024_01_15,12176,nan,-0.14291,4.81443,0.19212,nan,nan,nan,3.41, ,-10000.0
2024_01_15,12256,nan,0.30445,-0.00746,0.06694,nan,nan,nan,0.12, ,-10000.0
2024_01_20,12176,nan,0.94827,-5.24101,1.1195,nan,nan,nan,4.51, ,-10000.0
2024_01_20,12256,nan,0.30094,-0.00366,0.06032,nan,nan,nan,0.10, ,-10000.0
2024_01_05,12176,nan,0.08805,2.51198,0.49987,nan,nan,nan,3.92, ,-10000.0
2024_01_05,12256,nan,0.31065,-0.01596,0.07836,nan,nan,nan,0.16, ,-10000.0
2024_01_10,12176,nan,0.03366,2.88421,0.17673,nan,nan,nan,3.30, ,-10000.0
2024_01_10,12256,nan,0.31262,-0.01227,0.07317,nan,nan,nan,0.13, ,-10000.0
2024_01_15,12176,nan,-0.14291,4.81443,0.19212,nan,nan,nan,3.41, ,-10000.0
2024_01_15,12256,nan,0.30445,-0.00746,0.06694,nan,nan,nan,0.12, ,-10000.0
2024_01_20,12176,nan,0.94827,-5.24101,1.1195,nan,nan,nan,4.51, ,-10000.0
2024_01_20,12256,nan,0.30094,-0.00366,0.06032,nan,nan,nan,0.10, ,-10000.0
2024_01_05,12176,nan,0.08805,2.51198,0.49987,nan,nan,nan,3.92, ,-10000.0
2024_01_05,12256,nan,0.31065,-0.01596,0.07836,nan,nan,nan,0.16, ,-10000.0
2024_01_10,12176,nan,0.03366,2.88421,0.17673,nan,nan,nan,3.30, ,-10000.0
2024_01_10,12256,nan,0.31262,-0.01227,0.07317,nan,nan,nan,0.13, ,-10000.0
2024_01_15,12176,nan,-0.14291,4.81443,0.19212,nan,nan,nan,3.41, ,-10000.0
2024_01_15,12256,nan,0.30445,-0.00746,0.06694,nan,nan,nan,0.12, ,-10000.0
2024_01_20,12176,nan,0.94827,-5.24101,1.1195,nan,nan,nan,4.51, ,-10000.0
2024_01_20,12256,nan,0.30094,-0.00366,0.06032,nan,nan,nan,0.10, ,-10000.0
