Code,day_of_year,2000,2001,2002,2003
12176,2,5.05,2.9933333333333336,4.07,10.4
12176,3,5.05,3.3066666666666666,4.62,10.7
12176,4,4.54,3.62,3.1,10.8
12176,5,5.32,3.35,4.24,9.98
12176,6,7.74,7.625,3.26,6.51
12176,7,5.58,11.9,3.23,5.0
12176,8,4.57,8.9,3.24,4.18
12176,9,4.3,6.21,3.02,3.74
12176,10,4.43,4.8,2.96,3.51
12176,11,4.51,4.38,2.88,3.43
12176,12,4.41,6.2,3.31,3.25
12176,13,4.27,5.53,3.1,3.54
12176,14,4.13,4.14,3.28,3.83
12176,15,3.9,3.68,3.05,3.54
12176,16,3.74,3.47,3.03,3.34
12176,17,3.62,3.23,3.07,3.25
12176,18,3.73,3.31,2.97,3.15
12176,19,3.7,3.14,2.96,3.09
12176,20,3.58,3.07,3.32,3.16
12176,21,3.48,3.02,3.25,3.11
12176,22,3.35,3.06,3.23,3.18
12176,23,3.4,3.13,3.24,3.76
12176,24,3.23,3.14,3.765,4.65
12176,25,2.97,3.07,4.29,3.94
12176,26,2.93,3.02,4.3,3.59
12176,27,2.6,3.06,5.95,3.58
12176,28,2.85,3.62,7.6,6.045
12176,29,3.07,3.29,9.25,8.51
12176,30,3.79,3.16,5.34,4.66
12176,31,14.695,3.36,4.29,3.77
12176,32,25.6,3.16,3.87,3.4
12176,33,11.0,3.02,3.96,3.39
12176,34,9.39,3.29,3.52,4.29
12176,35,26.7,5.74,3.48,5.18
12176,36,11.0,8.19,3.23,4.12
12176,37,7.35,6.95,5.33,3.92
12176,38,6.18,5.39,7.15,3.71
12176,39,5.92,6.59,5.59,3.68
12176,40,6.92,6.4,8.92,3.56
12176,41,30.9,4.03,16.4,3.55
12176,42,10.0,3.08,8.17,3.49
12176,43,9.65,3.06,5.85,3.43
12176,44,7.72,3.02,4.92,3.37
12176,45,8.41,2.99,4.49,3.31
12176,46,18.5,2.96,3.78,3.22
12176,47,14.8,2.93,3.46,3.23
12176,48,16.7,2.91,3.37,3.06
12176,49,10.6,2.86,3.35,3.05
12176,50,7.71,2.83,3.36,2.94
12176,51,20.5,2.81,3.32,2.9
12176,52,14.4,2.81,8.33,3.06
12176,53,8.96,3.05,4.48,3.18
12176,54,7.01,7.32,8.18,3.14
12176,55,5.66,6.02,9.32,3.19
12176,56,5.03,3.39,6.78,3.16
12176,57,5.01,3.03,8.59,3.28
12176,58,15.6,2.99,14.995,3.44
12176,59,12.0,3.18,21.4,3.52
12176,60,9.73,3.08,9.77,6.046666666666667
12176,61,10.5,3.12,10.5,8.573333333333334
12176,62,19.9,4.29,9.31,11.1
12176,63,16.7,6.359999999999999,6.8,6.56
12176,64,9.78,8.43,5.37,5.8
12176,65,11.5,10.5,4.7,7.14
12176,66,9.48,7.81,4.35,16.7
12176,67,6.68,12.1,4.71,8.67
12176,68,5.6,16.8,4.93,6.55
12176,69,5.43,11.3,4.87,6.62
12176,70,15.2,11.8,4.37,7.7
12176,71,18.3,17.9,3.91,12.9
12176,72,12.5,24.2,3.81,16.4
12176,73,12.4,24.1,3.89,8.91
12176,74,9.59,19.6,3.73,6.14
12176,75,7.9,13.8,3.61,5.34
